genus,size_category,feeding_habit,vertical_position,depth_distribution
Echinorhinus,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Galeocerdo,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_reptilia_chondrichthyes_mammalia,benthopelagic,neritic_twilight
Galeorhinus,small,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Galeus,medium,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Ginglymostoma,small,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Hemipristis,medium,chondrichthyes_actinopterygii_mammalia,benthopelagic,neritic
Heterodontus,small,chondrichthyes_macroinvertebrates,benthic,neritic
Hexanchus,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_aves_chondrichthyes_mammalia,benthopelagic,neritic_twilight_midnight
Isistius,tiny,chondrichthyes_macroinvertebrates_cephalopoda,pelagic,neritic_twilight_midnight
Isogomphodon,small,chondrichthyes_actinopterygii,benthopelagic,neritic
Isurus,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic
Lamna,small,chondrichthyes_actinopterygii,pelagic,neritic_twilight_midnight
Mobula,NA,chondrichthyes_microinvertebrates_macroinvertebrates_actinopterygii,NA,neritic_twilight
Mustelus,small,chondrichthyes_macroinvertebrates,benthopelagic,neritic_twilight
Myliobatis,small,chondrichthyes_macroinvertebrates,benthopelagic,neritic_twilight
Negaprion,medium,chondrichthyes_actinopterygii,benthopelagic,neritic
Notorynchus,small,chondrichthyes_actinopterygii_chondrichthyes_mammalia,benthopelagic,neritic_twilight
Odontaspis,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Otodus megalodon,mega,chondrichthyes_cephalopoda_actinopterygii_reptilia_aves_chondrichthyes_mammalia,pelagic,neritic_twilight
Oxyrhina,NA,NA,NA,NA
Paragaleus,small,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic
Parotodus,large,chondrichthyes_actinopterygii_chondrichthyes_mammalia,pelagic,neritic_twilight
Prionace,medium,chondrichthyes_actinopterygii,pelagic,neritic_twilight
Pristiophorus,tiny,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic
Pristis,large,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic
Pteromylaeus,small,chondrichthyes_macroinvertebrates,benthopelagic,neritic
Raja,small,chondrichthyes_macroinvertebrates,benthic,neritic
Rhinobatos,tiny,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Rhinoptera,small,chondrichthyes_macroinvertebrates,benthic,neritic
Rhizoprionodon,small,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic
Rhynchobatus,small,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Scoliodon,tiny,chondrichthyes_actinopterygii,benthopelagic,neritic
Scyliorhinus,tiny,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic_twilight
Sphyrna1,small,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_chondrichthyes,benthopelagic,neritic_twilight
Sphyrna2,medium,chondrichthyes_macroinvertebrates_actinopterygii_chondrichthyes,benthopelagic,neritic
Squalus,small,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Squatina,small,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Taeniura,small,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Anoplonassa, NA,NA,NA,NA
Aprixokogia,medium,mammalia_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic_twilight
Astadelphis, NA,NA,NA,NA
Auroraphoca,small,mammalia_macroinvertebrates_actinopterygii,NA,neritic
Batavipusa,small,NA,benthopelagic,neritic
Belemnoziphius, NA,NA,NA,NA
Beneziphius,small,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Bohaskaia,small,mammalia_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Brabocetus,small,NA,benthopelagic,neritic
Callophoca,medium,NA,NA,neritic
Choneziphius,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight
Corystosiren,medium,NA,benthic,neritic
Delphinapterus,medium,mammalia_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Delphinus,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic
Dioplotherium,medium,NA,benthic,neritic
Enhydra,tiny,mammalia_macroinvertebrates_actinopterygii,benthic,neritic
Enhydritherium,tiny,mammalia_macroinvertebrates,benthic,neritic
Fragilicetus, NA,mammalia_microinvertebrates_macroinvertebrates_actinopterygii,NA,NA
Globicephala,medium,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight
Globicetus,small,mammalia_actinopterygii,NA,NA
Grampus,medium,mammalia_cephalopoda,pelagic,neritic_twilight
Gricetoides, NA,mammalia_microinvertebrates_macroinvertebrates_actinopterygii,NA,NA
Gryphoca,small,mammalia_macroinvertebrates_actinopterygii,benthopelagic,neritic
Hadrodelphis,medium,NA,benthopelagic,neritic
Hemisyntrachelus,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight
Heterocetus, NA,mammalia_microinvertebrates_macroinvertebrates_actinopterygii,NA,NA
Homiphoca,small,mammalia_macroinvertebrates_actinopterygii,pelagic,neritic
Hoplocetus, NA,mammalia_macroinvertebrates_actinopterygii_mammalia,NA,NA
Hyperoodon ,large,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic_twilight_midnight
Imocetus,small,mammalia_cephalopoda_actinopterygii,NA,NA
Kogia,small,mammalia_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic_twilight
Kogiopsis, NA,mammalia_actinopterygii,NA,NA
Lagenorhynchus,small,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic
Lissodelphis,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic
Lontra ,small,mammalia_macroinvertebrates_actinopterygii_aves,benthopelagic,neritic
Lutra ,tiny,mammalia_macroinvertebrates_actinopterygii_aves,benthopelagic,neritic
Mesoplodon,medium,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Metaxytherium,medium,mammalia_herbivore,benthic,neritic
Monodon,medium,mammalia_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight_midnight
Nanophoca,small,NA,benthic,neritic
Nanosiren,small,mammalia_herbivore,benthic,neritic
Neomonachus,small,mammalia_macroinvertebrates_actinopterygii,benthopelagic,neritic
Ninoziphius,small,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Odobenus,medium,mammalia_macroinvertebrates,benthic,neritic
Ontocetus,medium,NA,benthic,neritic
Orcinus1,large,mammalia_macroinvertebrates_cephalopoda_actinopterygii_reptilia_chondrichthyes_mammalia,pelagic,neritic_twilight
Orcinus2,medium,mammalia_macroinvertebrates_cephalopoda_actinopterygii_chondrichthyes,pelagic,neritic_twilight
Orycterocetus,medium,NA,pelagic,neritic_twilight_midnight
Phoca,small,mammalia_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic
Phocanella, NA,mammalia_macroinvertebrates_cephalopoda_actinopterygii,NA,neritic
Phocoena,small,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic
Physeter,mega,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Physeterula,medium,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Platalearostrum,medium,mammalia_actinopterygii,NA,NA
Platyphoca,small,mammalia_actinopterygii,NA,NA
Plesiocetopsis, NA,mammalia_microinvertebrates_macroinvertebrates_actinopterygii,NA,NA
Pliodelphis,small,NA,pelagic,NA
Pliopontos,small,mammalia_macroinvertebrates_actinopterygii,benthic,neritic
Pontoporia,small,mammalia_macroinvertebrates_cephalopoda_actinopterygii,benthic,neritic
Praepusa,small,mammalia_actinopterygii,benthopelagic,neritic
Prophoca , NA,NA,NA,neritic
Pseudorca,medium,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight
Sarcodectes,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic
Scaldicetus,large,mammalia_macroinvertebrates_cephalopoda_actinopterygii_mammalia,pelagic,neritic_twilight
Septemtriocetus,small,NA,benthopelagic,neritic
Stenella,small,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Steno,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic
Thalassocetus,medium,NA,NA,NA
Tursiops,medium,mammalia_macroinvertebrates_actinopterygii,benthopelagic,neritic
Tusciziphius,medium,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight
Ziphirostrum,NA,NA,NA,NA
Ziphius,large,mammalia_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight_midnight
Caretta,small,reptilia_herbivore_macroinvertebrates_cephalopoda,benthic,neritic_twilight
Chelonia,small,reptilia_herbivore,benthic,neritic
Eretmochelys,tiny,reptilia_macroinvertebrates,benthic,neritic
Lepidochelys,tiny,reptilia_herbivore_macroinvertebrates_actinopterygii,benthic,neritic
Procolpochelys,small,NA,benthic,neritic
Psephophorus,small,reptilia_macroinvertebrates,pelagic,neritic
Syllomus,tiny,reptilia_herbivore_macroinvertebrates_actinopterygii,benthic,neritic
Cephalopoda1,tiny,cephalopoda_macroinvertebrates_actinopterygii,benthopelagic,neritic
Cephalopoda2,tiny,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic
Cephalopoda3,tiny,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic
Cephalopoda4,tiny,cephalopoda_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Cephalopoda5,tiny,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Cephalopoda6,tiny,cephalopoda_microinvertebrates,pelagic,neritic_twilight
Cephalopoda7,tiny,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic_twilight
Cephalopoda8,tiny,cephalopoda_cephalopoda_actinopterygii,pelagic,neritic_twilight
Cephalopoda9,tiny,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight_midnight
Cephalopoda10,tiny,cephalopoda_microinvertebrates,pelagic,neritic_twilight_midnight
Cephalopoda11,tiny,cephalopoda_macroinvertebrates,pelagic,neritic_twilight_midnight
